全国・都道府県,2015年,2016年,2017年,2018年,2019年
北海道,"5,382","5,352","5,320","5,286","5,250"
青森県,"1,308","1,293","1,278","1,263","1,246"
岩手県,"1,280","1,268","1,255","1,241","1,227"
宮城県,"2,334","2,330","2,323","2,316","2,306"
秋田県,"1,023","1,010",996,981,966
山形県,"1,124","1,113","1,102","1,090","1,078"
福島県,"1,914","1,901","1,882","1,864","1,846"
茨城県,"2,917","2,905","2,892","2,877","2,860"
栃木県,"1,974","1,966","1,957","1,946","1,934"
群馬県,"1,973","1,967","1,960","1,952","1,942"
埼玉県,"7,267","7,289","7,310","7,330","7,350"
千葉県,"6,223","6,236","6,246","6,255","6,259"
東京都,"13,515","13,624","13,724","13,822","13,921"
神奈川県,"9,126","9,145","9,159","9,177","9,198"
新潟県,"2,304","2,286","2,267","2,246","2,223"
富山県,"1,066","1,061","1,056","1,050","1,044"
石川県,"1,154","1,151","1,147","1,143","1,138"
福井県,787,782,779,774,768
山梨県,835,830,823,817,811
長野県,"2,099","2,088","2,076","2,063","2,049"
岐阜県,"2,032","2,022","2,008","1,997","1,987"
静岡県,"3,700","3,688","3,675","3,659","3,644"
愛知県,"7,483","7,507","7,525","7,537","7,552"
三重県,"1,816","1,808","1,800","1,791","1,781"
滋賀県,"1,413","1,413","1,413","1,412","1,414"
京都府,"2,610","2,605","2,599","2,591","2,583"
大阪府,"8,839","8,833","8,823","8,813","8,809"
兵庫県,"5,535","5,520","5,503","5,484","5,466"
奈良県,"1,364","1,356","1,348","1,339","1,330"
和歌山県,964,954,945,935,925
鳥取県,573,570,565,560,556
島根県,694,690,685,680,674
岡山県,"1,922","1,915","1,907","1,898","1,890"
広島県,"2,844","2,837","2,829","2,817","2,804"
山口県,"1,405","1,394","1,383","1,370","1,358"
徳島県,756,750,743,736,728
香川県,976,972,967,962,956
愛媛県,"1,385","1,375","1,364","1,352","1,339"
高知県,728,721,714,706,698
福岡県,"5,102","5,104","5,107","5,107","5,104"
佐賀県,833,828,824,819,815
長崎県,"1,377","1,367","1,354","1,341","1,327"
熊本県,"1,786","1,774","1,765","1,757","1,748"
大分県,"1,166","1,160","1,152","1,144","1,135"
宮崎県,"1,104","1,096","1,089","1,081","1,073"
鹿児島県,"1,648","1,637","1,626","1,614","1,602"
沖縄県,"1,434","1,439","1,443","1,448","1,453"
