,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
2007年,24922660,3152600,4275660,7324290,3187370,3669850,7516240,3150140,6966530,6364380,3166930,14795600,37183240,10583010,6302230,2570380,4625590,1958170,4128690,10569930,3574780,13424430,10494440,5503260,2873150,9614710,16002890,8792470,1152420,3292400,1952330,1789930,3722160,5339720,3124310,1241500,2136000,2440320,1837280,8481820,2235810,4486550,5347790,4749470,2625350,4799330,11933650
2008年,25410040,3035810,3788170,6702490,2997420,3785410,7685250,3068450,6584740,6340640,3054980,14855660,35958000,10798610,6741670,2758070,5550550,2220810,4230840,10372690,3528340,13477920,10475790,6222600,2841570,9109980,16195310,8719750,1169120,3457610,1823220,2196520,3766820,5332540,3045770,1232440,2268440,2409530,1920310,8526070,2031460,4380360,5220000,4598590,2668080,4981010,12159270
2009年,24564640,3470340,4158090,6605510,2896490,3997580,7123720,2847780,6561990,5892160,2852880,15522010,34527190,11380880,7276970,2583640,5582820,2207030,4015470,9858050,3600290,13393740,9396620,5297640,2501080,8536850,15707030,8283450,1109430,3383970,2386500,2202200,3635970,4918980,2814360,1195270,2167530,2391930,1836770,8859520,1938080,4181570,4976010,4115660,2431280,4611110,11505900
2010年,23283710,3540430,4262240,7239450,3132050,4257590,7821050,3581920,8254430,6656040,3281730,18358460,41911630,13978650,7342470,2737810,5944790,2256600,5060670,11924880,4366980,15630670,11443520,5637530,3179330,11986200,19619750,9828680,1953650,3629970,2235000,2223610,3698360,6913300,3249200,1409060,2521720,2810020,2394000,11727240,1973230,5040480,5225150,5043750,2481320,5036090,12738840
2011年,27293760,4481930,6306100,9788570,3721130,5430380,10798650,4450960,8695920,8748680,3566100,15959680,41528320,16331430,10365090,3455020,6976680,3653820,7069110,19375310,5575640,19412880,12406940,7568670,4310460,14405110,21764630,11892580,2027900,4095810,3303670,2812210,4748580,7885900,4175000,1963470,3265020,4172340,2931420,13240240,2696600,6993380,7231800,6319580,3097120,6795810,14145070
2012年,28591870,4546440,6517240,10042560,3460540,5559550,10585930,5097080,9762230,8385380,3736890,19321960,49189870,17235100,10202510,3618940,7243760,3536210,7020510,18291290,5830330,20286510,13426230,8334690,4217270,16240750,23343620,12353120,2230560,4283310,2864320,2626850,4667230,8220210,4292020,1820010,3550090,3797870,3088360,13674120,2483640,6628470,7089180,6122600,3627650,6870930,15579340
2013年,30970470,4759730,5590690,11334990,3493090,5430680,10748340,5154170,9717140,9138510,3974240,20398580,52824060,16840830,9676970,3821370,7449930,3250950,6928770,18750560,6042480,20923330,14653230,9686440,4074590,20087510,23881430,13226080,2480220,4441600,3540280,3274100,5216680,7942310,4379090,2256720,3585200,3599020,2873700,13986570,2637180,7254700,7057610,6711060,3716050,7322530,20789590
2014年,30979070,4511260,5888980,10259780,3761400,5898540,11060830,5462770,9582340,8593380,4109880,21201240,54258780,19200770,9607330,3489160,7543170,3790460,7570390,17897190,6098660,21022570,15395410,8794360,4628730,16986760,28369250,13759210,2270170,4456370,3043000,3219190,5387650,8572130,4489320,2869160,3462700,3592350,2904380,15232160,2837990,7315020,6869150,6101170,3481860,7534490,20142060
2015年,32591070,5006470,6156280,10820670,3457240,5973260,11473400,5740920,10288850,8828080,4330720,22573510,59087920,19065960,10259960,3990920,8729520,4163910,8425870,19213380,6778010,22530110,16622180,9458820,5393240,18255030,30366080,14163920,2552560,4736400,2994290,3417450,5163880,9421370,4847160,2314910,4076570,3773550,2819870,16143170,3052190,8672440,7130540,7388270,3792000,7972730,20063730
2016年,33554500,5006420,6241440,9765080,3399890,5443790,10198820,5608470,10316840,8651160,4472830,21880880,57514950,18746090,10204650,3408470,8696500,3709190,8352920,17804660,6384400,21237660,16558790,9304450,4831230,17649500,31010470,13758680,2522030,4665510,2989460,3466560,5347280,9592650,4663910,2383140,3779900,4041340,2821620,16475930,3040560,7383780,7275180,6851540,3643200,7202190,20626690
2017年,35556950,4624260,6075910,9980830,3346180,5242180,10858410,5614360,10224250,8756660,4590130,24636500,59949670,20756330,10202050,3895490,8736680,3586770,8024260,17989080,6205370,20778710,17189390,8319100,4649630,18921720,33212480,13800590,2654380,4862960,2991700,3186890,5825430,9629230,4440630,2298150,3758400,4700800,2714490,17001170,2973270,7719200,7898550,7350280,4194130,7986670,21686570
2018年,35308590,5058910,6098790,10405390,3505130,5431360,11396360,5892150,9469560,8305480,4912890,25586050,66109060,23021940,9770880,3780400,9130810,4056940,8612760,18324790,6851630,21861980,17009840,8900660,4831460,20450740,39897970,13392000,2572170,5131910,3562640,2976410,5614880,9899270,4351960,2223980,4048330,4249750,3014560,16731560,2752990,7855080,8053190,7774300,4158780,8864320,26790920
